subject_id,sweep_type,model,context_length,horizon,rr_context_beats,rr_horizon_beats,rmse,mae,window_rmse_mean,window_mae_mean,num_windows,num_series,rr_rmse,rr_mae,rr_window_rmse_mean,rr_window_mae_mean,rr_ks_mean,rr_ks_cutoff_mean,rr_ks_pass_rate,waveform_rr_rmse,waveform_rr_mae,waveform_rr_window_rmse_mean,waveform_rr_window_mae_mean,waveform_rr_ks_mean,waveform_rr_ks_cutoff_mean,waveform_rr_ks_pass_rate
19090,waveform_context,Moirai 2.0,4096,256,4096,256,0.21309958398342133,0.11536902189254761,0.2072514141909778,0.11536902224179357,32,64,61.8768310546875,53.00315475463867,60.376618444919586,53.003153681755066,0.7662353515625,NA,NA,21.995813369750977,16.587718963623047,20.468285648190246,18.238095195925965,0.8639455782312924,NA,NA
19090,waveform_context,TimesFM,4096,512,4096,512,0.24497826397418976,0.13664594292640686,0.232144980924204,0.1366459485143423,32,64,17.10729217529297,10.874412536621094,11.8823901116848,10.874412477016449,0.79296875,NA,NA,17.419546127319336,10.350724220275879,14.468304526992142,11.503273757174611,0.6100818452380952,NA,NA
19090,waveform_context,Chronos-2,4096,512,4096,512,0.2914278507232666,0.13877184689044952,0.22844427509699017,0.13877185131423175,32,64,36.0869026184082,24.43510627746582,33.1588334441185,24.435107231140137,0.45977783203125,NA,NA,16.231430053710938,9.207317352294922,12.602266098222424,9.505645136679373,0.6129032258064516,NA,NA
19090,waveform_context,Moirai 2.0,4096,512,4096,512,0.22257865965366364,0.12775374948978424,0.21730191400274634,0.12775374902412295,32,64,66.35673522949219,60.34061050415039,66.14970815181732,60.34060835838318,0.8358154296875,NA,NA,19.573225021362305,14.752137184143066,20.45595115527772,17.736925660518178,0.8076023391812865,NA,NA
19090,waveform_context,TimesFM,4096,1024,4096,1024,0.24690738320350647,0.1399448662996292,0.23549869935959578,0.13994485628791153,32,64,24.8162899017334,15.243940353393555,20.97817787528038,15.243939638137817,0.59588623046875,NA,NA,14.611470222473145,7.585091590881348,12.564148573204875,9.483886840753257,0.4774270000832501,NA,NA
19090,waveform_context,Chronos-2,4096,1024,4096,1024,0.28878530859947205,0.14492826163768768,0.23574898159131408,0.14492827298818156,32,64,70.6461181640625,57.18714141845703,70.30726444721222,57.187140345573425,0.799835205078125,NA,NA,21.032560348510742,11.085994720458984,18.279314404827055,13.521058462433896,0.5824684731464392,NA,NA
19090,waveform_context,Moirai 2.0,4096,1024,4096,1024,0.2240072786808014,0.1331322342157364,0.21861416450701654,0.13313223025761545,32,64,74.65552520751953,62.7743034362793,70.2885969877243,62.77430126070976,0.86029052734375,NA,NA,16.65706443786621,10.48734188079834,17.541558039188384,14.35383797486623,0.69997890997891,NA,NA
19090,waveform_context,TimesFM,8192,256,8192,256,0.22532270848751068,0.11352038383483887,0.21626480773556978,0.11352038301993161,32,64,6.947967529296875,5.92047119140625,6.896260932087898,5.920471161603928,0.694091796875,NA,NA,16.25589370727539,9.76756763458252,11.936324430629611,9.593750067055225,0.66796875,NA,NA
19090,waveform_context,Chronos-2,8192,256,8192,256,0.20966482162475586,0.10073506832122803,0.20191911817528307,0.10073506348999217,32,64,10.191754341125488,7.613195419311523,9.209784522652626,7.613195389509201,0.5948486328125,NA,NA,16.86608123779297,9.017646789550781,11.321500769683293,8.746031768738277,0.6957671957671957,NA,NA
19090,waveform_context,Moirai 2.0,8192,256,8192,256,0.2038811594247818,0.10472843050956726,0.2003756002523005,0.10472843272145838,32,64,61.58467102050781,53.67378234863281,61.28236496448517,53.67378056049347,0.8009033203125,NA,NA,23.296228408813477,16.842857360839844,20.49893931873509,18.027322393948914,0.8497267759562841,NA,NA
19090,waveform_context,TimesFM,8192,512,8192,512,0.22594745457172394,0.12557482719421387,0.21954830083996058,0.12557482812553644,32,64,9.98440170288086,8.947014808654785,9.940905958414078,8.94701486825943,0.78753662109375,NA,NA,15.54251766204834,9.860274314880371,12.491537138819695,9.910825908184052,0.5776041666666667,NA,NA
19090,waveform_context,Chronos-2,8192,512,8192,512,0.2043054848909378,0.10959935188293457,0.19977362197823822,0.10959934862330556,32,64,14.968563079833984,10.402847290039062,13.928867861628532,10.402848273515701,0.54296875,NA,NA,17.1658992767334,9.689361572265625,14.001686375716638,10.653571414536444,0.6357142857142857,NA,NA
19090,waveform_context,Moirai 2.0,8192,512,8192,512,0.2116018533706665,0.1191491037607193,0.20883176079951227,0.11914911342319101,32,64,68.47998809814453,62.51323699951172,68.4513509273529,62.513237714767456,0.8514404296875,NA,NA,18.526458740234375,13.12592601776123,18.428217790165885,15.356401308638151,0.749687743950039,NA,NA
19090,waveform_context,TimesFM,8192,1024,8192,1024,0.23839785158634186,0.13268998265266418,0.22999369190074503,0.13268998265266418,32,64,20.998332977294922,13.371976852416992,20.296518862247467,13.371977120637894,0.626190185546875,NA,NA,14.35788345336914,7.253263473510742,10.73923435434699,7.855607998557389,0.44280740960428455,NA,NA
19090,waveform_context,Chronos-2,8192,1024,8192,1024,0.2119503766298294,0.11529641598463058,0.20691464969422668,0.1152964232605882,32,64,58.14838409423828,44.211944580078125,57.73131775856018,44.21194267272949,0.774566650390625,NA,NA,20.324684143066406,11.055684089660645,16.869921922683716,11.422984518607457,0.5147291134791134,NA,NA
19090,waveform_context,Moirai 2.0,8192,1024,8192,1024,0.21661613881587982,0.12520411610603333,0.21282091946341097,0.12520411727018654,32,64,87.62744903564453,80.5465087890625,87.54214119911194,80.54651093482971,0.91021728515625,NA,NA,15.144111633300781,9.631579399108887,16.61087884902954,13.313538777828217,0.6104825729825729,NA,NA
