sweep_type,model,context_length,horizon,rr_context_beats,rr_horizon_beats,rmse,mae,window_rmse_mean,window_mae_mean,num_windows,num_series,rr_rmse,rr_mae,rr_window_rmse_mean,rr_window_mae_mean,rr_ks_mean,rr_ks_cutoff_mean,rr_ks_pass_rate,waveform_rr_rmse,waveform_rr_mae,waveform_rr_window_rmse_mean,waveform_rr_window_mae_mean,waveform_rr_ks_mean,waveform_rr_ks_cutoff_mean,waveform_rr_ks_pass_rate
waveform_context,Chronos-2,4096,256,4096,256,0.2947597975532214,0.14144568310843575,0.27118092321971843,0.14144568421923193,576,1152,25.654330677456326,12.862547212176853,22.510559800184435,12.862547369880808,0.5744289822048612,NA,NA,17.553802967071533,10.812498993343777,12.541953453129379,10.848201546593877,0.7266790290625309,NA,NA
waveform_context,Moirai 2.0,4096,256,4096,256,0.2908397333489524,0.1456650094025665,0.2729671945497911,0.1456650073847009,576,1152,66.19666777716742,51.970319747924805,65.62989230950673,51.970319497916435,0.72174072265625,NA,NA,19.56314757135179,14.366451422373453,17.446710655666678,15.256874612995075,0.765831184208092,NA,NA
waveform_context,TimesFM,4096,512,4096,512,0.3147379267546866,0.16505548937453163,0.2953974653307038,0.1650554892193112,576,1152,24.519812795850967,10.557728105121189,23.96908813011315,10.557728201978737,0.6430697970920138,NA,NA,25.25763765970866,13.196178939607409,18.834487801272374,15.187150510553671,0.6139615530246415,NA,NA
waveform_context,Chronos-2,4096,512,4096,512,0.2987033228079478,0.15033874495161903,0.2790927210977922,0.15033874309867518,576,1152,46.464955223931206,26.8896910349528,44.62216403335333,26.88969086607297,0.6218227810329862,NA,NA,29.019666618771023,13.408097373114693,18.27205386133577,14.33314204355273,0.6780386951236835,NA,NA
waveform_context,Moirai 2.0,4096,512,4096,512,0.29991747273339164,0.1579151608877712,0.2832190710210448,0.15791515976242307,576,1152,82.04530779520671,67.12261199951172,81.04815463970105,67.12261075774829,0.8209025065104166,NA,NA,30.081672774420845,14.878895706600613,21.539602169204322,18.397745674645954,0.7244445053277863,NA,NA
waveform_context,TimesFM,4096,1024,4096,1024,0.32071419225798714,0.17316882188121477,0.3012394608878013,0.17316881904197443,576,1152,42.492600732379486,12.806831386354235,40.72947418110238,12.806831314745876,0.6151512993706597,NA,NA,30.449367311265732,12.778812050819397,22.960983997416733,17.33619327840969,0.5717961986720935,NA,NA
waveform_context,Chronos-2,4096,1024,4096,1024,0.305916379723284,0.15783912812670073,0.28636253848930615,0.15783912746378015,576,1152,84.86703999837239,52.91974978976779,83.36484062009387,52.919750065439274,0.7578633626302084,NA,NA,50.16285800933838,20.065400017632378,32.32887154878755,23.892091062266104,0.6594843510233224,NA,NA
waveform_context,Moirai 2.0,4096,1024,4096,1024,0.3107173326942656,0.16969170421361923,0.2930897608554612,0.16969170700111944,576,1152,88.59692467583551,56.779746797349716,81.0217090629869,56.77974640453855,0.7852240668402778,NA,NA,43.31974368625217,17.0456858476003,30.386423713820015,24.84367701052964,0.7289818153905298,NA,NA
waveform_context,TimesFM,8192,256,8192,256,0.292361035115189,0.14505655277106497,0.2744621639916052,0.14505655297479178,576,1152,19.098143948449028,8.7618856827418,18.544249986194902,8.761885691434145,0.6320732964409722,NA,NA,26.973415321773953,13.413297891616821,17.445187418018854,15.218437661968153,0.6733178148762476,NA,NA
waveform_context,Chronos-2,8192,256,8192,256,0.28094502952363754,0.1354015717903773,0.2629157414485235,0.13540157257294697,576,1152,22.261797282430862,10.108246882756552,20.237412478153903,10.108246764375103,0.5777791341145834,NA,NA,24.725721968544853,11.957478867636787,14.828607209318344,12.651505199250108,0.7309163153936651,NA,NA
waveform_context,Moirai 2.0,8192,256,8192,256,0.28500208672549987,0.14107950983775985,0.26896149752428755,0.14107950820794535,576,1152,70.27219454447429,56.61642837524414,69.97712104519208,56.616428795788025,0.7630411783854166,NA,NA,27.60797749625312,16.076006995307075,19.084863490839755,16.54097552580257,0.787383212395977,NA,NA
waveform_context,TimesFM,8192,512,8192,512,0.3042810873852836,0.15887937943140665,0.28794097155979315,0.1588793786003306,576,1152,23.658750825458103,10.25637420018514,23.427957070784437,10.256374144926667,0.6162041558159722,NA,NA,25.189499802059597,12.966050412919786,18.514343200252693,14.915559707438831,0.6062617766447078,NA,NA
waveform_context,Chronos-2,8192,512,8192,512,0.2894909423258569,0.14665011937419573,0.2748256866858962,0.14665011862396365,576,1152,30.518861081865097,14.806825002034506,28.480738593472374,14.806825058741701,0.5930379231770834,NA,NA,29.838811291588677,14.253922038608128,19.30846985241263,15.016558470148956,0.6899424405211035,NA,NA
waveform_context,Moirai 2.0,8192,512,8192,512,0.2934715391861068,0.1538303912513786,0.27914228486285236,0.15383039237996046,576,1152,84.46109517415364,70.84955088297527,84.18717819783423,70.84955068098174,0.8456285264756944,NA,NA,22.561448256174724,12.476665152443779,17.22296856356816,14.058423366265286,0.7145462674152381,NA,NA
waveform_context,TimesFM,8192,1024,8192,1024,0.3135753141509162,0.16809508866733974,0.29568939630795893,0.1680950881887434,576,1152,43.69069165653653,12.635313828786215,42.699189552830326,12.635313991043303,0.6042938232421875,NA,NA,32.27742203076681,13.450815399487814,23.75546277930333,17.825205956334294,0.5670728420627447,NA,NA
waveform_context,Chronos-2,8192,1024,8192,1024,0.29915179477797615,0.15467328826586405,0.2833122456407485,0.1546732894429523,576,1152,75.45955424838596,39.91080930497911,74.2646364139186,39.910809356305336,0.7033403184678819,NA,NA,52.09622595045302,20.913837644788956,34.56184435201466,25.514383135878646,0.6707998510852641,NA,NA
waveform_context,Moirai 2.0,8192,1024,8192,1024,0.3053993011514346,0.16542071476578712,0.288972193439905,0.16542071588466772,576,1152,96.78171963161893,67.11203511555989,92.45129926337137,67.11203541068568,0.8381856282552084,NA,NA,37.65068870120578,15.297347095277575,24.68084891992737,18.49777726118355,0.7028317098609669,NA,NA
