sweep_type,metric_type,model,context_length,horizon,rr_context_beats,rr_horizon_beats,step_index,rmse,mae,true_sdnn,pred_sdnn,sdnn_ratio,sdnn_deficit,true_rmssd,pred_rmssd,rmssd_ratio,rmssd_deficit,count
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,33,8.641633298661974,6.934389366043939,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,33,NA,NA,6.234357461226233,0.5404857403533536,0.0942488228341136,5.693871720872881,6.5267865733158,0.46896663558700535,0.07052206082807987,6.057819937728795,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,34,8.760306821929085,7.013567288716634,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,34,NA,NA,6.00713124342407,0.5397059054878738,0.09616414670101033,5.467425337936195,6.3776640861642715,0.4705586871905779,0.07152511828988463,5.907105398973695,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,35,14.417466839154562,8.06486013200548,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,35,NA,NA,6.354239024139635,0.5427076460454062,0.09402923464064511,5.811531378094229,6.744435443237572,0.47501804885075266,0.07056353662257349,6.26941739438682,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,36,8.391483373112148,6.808084487915039,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,36,NA,NA,6.3738012639178505,0.5335672217275507,0.09246568168694608,5.8402340421903,6.881275889322409,0.47490866312069396,0.070110896888335,6.406367226201715,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,37,8.782858782344395,7.083731902970208,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,37,NA,NA,6.75513811638409,0.5342927526925854,0.09005683823603253,6.220845363691504,7.164452821559141,0.4816680768409624,0.0679301099469758,6.68278474471818,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,38,20.075437717967564,9.119876464207968,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,38,NA,NA,6.427082438503859,0.5427966801919636,0.09307739287026312,5.884285758311896,6.573262297925256,0.48621987875157846,0.07086667510447475,6.087042419173677,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,39,8.509120808707344,6.893921693166097,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,39,NA,NA,6.031222186151827,0.5475166647835419,0.09734044928528975,5.483705521368285,6.143655102600075,0.4943399030318391,0.07457598085849718,5.649315199568235,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,40,14.264106273651123,8.09042423301273,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,40,NA,NA,6.022149656422085,0.5520984629965792,0.09857946585806854,5.4700511934255065,6.371951742143438,0.4971128470103483,0.07394866287939825,5.87483889513309,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,41,8.914608597755432,7.230040364795261,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,41,NA,NA,6.284313142964021,0.5481063183048284,0.09733560356970078,5.736206824659194,6.664026568627922,0.49412315849542376,0.07259704576041118,6.169903410132498,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,42,16.30644334687127,8.847412917349073,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,42,NA,NA,6.273638496553228,0.5483509080726189,0.09786889944107942,5.72528758848061,6.791050487447211,0.47973287591175734,0.07161026231665135,6.311317611535453,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,43,8.999569363064236,7.338026179207696,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,43,NA,NA,6.259184425022623,0.5295183138940138,0.0961854974754321,5.7296661111286085,6.676965779515145,0.4598085315400138,0.07103236571772863,6.217157247975132,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,44,17.498238550292122,8.644908679856194,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,44,NA,NA,5.9888035643585384,0.5240706056354495,0.09633843006011322,5.46473295872309,6.40980468465756,0.4658923287220922,0.07225348782282093,5.943912355935467,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,45,8.874566462304857,7.133581479390462,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,45,NA,NA,5.996993784995606,0.5365317056312562,0.0956847424063123,5.46046207936435,6.414716060070471,0.4777345558457229,0.07231473051717752,5.9369815042247485,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,46,20.29202613565657,9.388482173283895,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,46,NA,NA,6.327637208929352,0.5336118737074689,0.0931968200012814,5.794025335221885,6.510059252234566,0.49135263780502925,0.0723805885122672,6.0187066144295365,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,47,9.04727045694987,7.416509456104702,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,47,NA,NA,6.32979352131021,0.5346154507068953,0.09228999585018448,5.795178070603314,6.647583526803082,0.4990727897827561,0.07277293743515144,6.1485107370203265,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,48,14.851347499423557,8.353842073016697,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,48,NA,NA,6.578261796113815,0.5316942916612947,0.08904390187080798,6.04656750445252,7.033233648924677,0.5088851265654799,0.07187659816239336,6.524348522359197,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,49,9.164905071258545,7.373219807942708,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,49,NA,NA,6.345073471729253,0.5315255231626224,0.09107000699923229,5.813547948566631,6.90187627597607,0.5163206222800522,0.07326108650075017,6.385555653696018,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,50,9.281636118888855,7.558244427045186,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,50,NA,NA,6.346280486252723,0.5228586459187181,0.08928407465147532,5.823421840334005,6.7429380668339896,0.5120041488979998,0.07328276003291075,6.23093391793599,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,51,9.152620328797234,7.5382610824373035,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,51,NA,NA,6.024017050564357,0.5174031998852061,0.08956952235989518,5.506613850679151,6.407861108352595,0.5106607225352616,0.07384990404880624,5.8972003858173325,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,52,9.296508113543192,7.678390555911594,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,52,NA,NA,6.415090416479695,0.5098458981115426,0.08594672310477662,5.9052445183681535,6.646638934464472,0.5127848862474068,0.07226954835338976,6.133854048217065,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,53,16.434527383910286,8.889133095741272,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,53,NA,NA,6.027450596674706,0.5116649854590675,0.08858771030131322,5.515785611215639,6.420108500903409,0.5126857161864214,0.07357372539547823,5.907422784716988,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,54,20.56389644410875,9.459971149762472,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,54,NA,NA,6.278555940771571,0.5111440862169722,0.0882134846162728,5.767411854554598,6.473920816993076,0.5034119802454794,0.07274775800471336,5.970508836747597,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,55,14.583688802189297,8.264475703239441,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,55,NA,NA,5.741434290982003,0.5098118280454754,0.09048500911172383,5.231622462936527,6.0336595505516,0.5074113262033833,0.0760561609369616,5.526248224348217,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,56,9.283206317159864,7.467620425754124,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,56,NA,NA,6.265324805287873,0.5056760749201521,0.08743621594795183,5.759648730367721,6.482940500004322,0.5061704650797869,0.07297823476939459,5.9767700349245345,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,57,9.296979559792412,7.447583423720466,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,57,NA,NA,5.997830933538436,0.5102016363128328,0.08945738511625947,5.487629297225603,6.406811340487722,0.5060034550914261,0.07383599869140124,5.900807885396297,1152
